date,state,city,address,killed,injured,url,source,incident,postalcode,display_address,latitude,longitude
2015-04-02,Tennessee,Memphis,"900 block of Hester Road",0,1,http://www.gunviolencearchive.org/incident/316628,http://www.wmcactionnews5.com/story/28706840/mpd-officer-shot-in-whitehaven-search-is-on-for-suspect-in-blue-chevy-cobalt,"Shot - Wounded/Injured, Officer Involved Incident, Officer Involved Shooting - Officer shot, Gang involvement, Drug involvement",38116,"900 Hester Road, Memphis, TN 38116, USA",35.010942,-90.034019
2015-04-02,Kentucky,Louisville,"2200 block of Brownsboro Road",0,2,http://www.gunviolencearchive.org/incident/316588,http://www.wdrb.com/story/28708524/metrosafe-officer-involved-shooting-at-brownsboro-road-kroger,"Shot - Wounded/Injured, Officer Involved Incident, Officer Involved Shooting - Perpetrator shot",40206,"2200 Brownsboro Road, Louisville, KY 40206, USA",38.2579596,-85.704495
2015-04-02,Kentucky,Florence,"La Cresta Drive off U.S. 42",0,1,http://www.gunviolencearchive.org/incident/316683,http://www.wave3.com/story/28701758/officer-involved-shooting-in-florence,"Shot - Wounded/Injured, Officer Involved Incident, Officer Involved Shooting - Perpetrator shot",41042,"U.S.42, Florence, KY 41042, USA",38.9964672,-84.6296978
2015-04-02,Michigan,"Van Buren County","63000 block of 90th Avenue",0,0,http://www.gunviolencearchive.org/incident/317205,http://www.mlive.com/news/kalamazoo/index.ssf/2015/04/meth_labs_7_long_guns_seized_d.html,"Non-Shooting Incident, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired, Drug involvement, Possession (gun(s) found during commission of other crimes)",49057,"63000 90th Avenue, Hartford, MI 49057, USA",42.0927067,-86.1566655
2015-04-02,Illinois,Metropolis,"Illinois 145 and Waldo Church Road",1,0,http://www.gunviolencearchive.org/incident/316953,http://thesouthern.com/news/local/one-dead-after-illinois-state-police-involved-shooting-in-metropolis/article_07bcd03c-74d8-589a-8727-d1354cc71cc0.html,"Shot - Dead (murder, accidental, suicide), Officer Involved Incident, Officer Involved Shooting - Perpetrator killed",62960,"Illinois 145 & Waldo Church Road, Metropolis, IL 62960, USA",37.1760102,-88.6766482
2015-04-02,Oklahoma,Tulsa,"20th Street North and North Harvard",1,0,http://www.gunviolencearchive.org/incident/317910,http://www.kjrh.com/news/local-news/tulsa-county-reserve-deputy-shoots-suspect-during-struggle-after-undercover-operation,"Shot - Dead (murder, accidental, suicide), Officer Involved Incident, Officer Involved Shooting - Officer killed",74137,"East 20th Street, Tulsa, OK 74137, USA",36.0413109,-95.9533362
2015-04-01,Texas,"Caldwell County","1600 block of Homannville",0,0,http://www.gunviolencearchive.org/incident/316893,http://www.statesman.com/news/news/local/caldwell-county-charges-man-who-shot-at-deputies/nkk4m/,"Shots Fired - No Injuries, Officer Involved Incident, Officer Involved Shooting - Shots fired, no injury",78644,"1600 Homannville Trail, Lockhart, TX 78644, USA",29.982534,-97.65985
2015-04-01,Ohio,Columbus,"Parsons Avenue and East Kossuth Street",2,1,http://www.gunviolencearchive.org/incident/316281,http://www.nbc4i.com/story/28694630/two-dead-on-parsons-avenue-shooting,"Shot - Wounded/Injured, Shot - Dead (murder, accidental, suicide), Officer Involved Incident, Officer Involved Shooting - Perpetrator shot, Domestic Violence, Possession (gun(s) found during commission of other crimes)",43206,"Parsons Avenue & East Kossuth Street, Columbus, OH 43206, USA",39.9457664,-82.9828348
2015-04-01,Mississippi,Biloxi,"8220 W Oaklawn Rd.",0,1,http://www.gunviolencearchive.org/incident/317339,http://www.wjtv.com/story/28702408/biloxi-police-officer-involved-shooting-in-rv-park,"Shot - Wounded/Injured, Officer Involved Incident, Officer Involved Shooting - Perpetrator shot",39532,"8220 West Oaklawn Road, Biloxi, MS 39532, USA",30.4586719,-88.9728239
2015-04-01,Pennsylvania,Bechtelsville,"Washington Road",0,0,http://www.gunviolencearchive.org/incident/317511,http://abc27.com/2015/04/01/berks-county-man-arrested-after-standoff-at-campground/,"Non-Shooting Incident, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired",19505,"Washington Road, Bechtelsville, PA 19505, USA",40.3657053,-75.6205065
2015-04-01,"New Jersey",Hamilton,"Nottinghill Lane",0,1,http://www.gunviolencearchive.org/incident/316490,http://www.trentonian.com/general-news/20150401/hamilton-police-man-shot-by-officer-while-stabbing-his-father,"Shot - Wounded/Injured, Officer Involved Incident, Officer Involved Shooting - Perpetrator shot",08619,"Nottinghill Lane, Hamilton Township, NJ 08619, USA",40.2175028,-74.7088258
2015-04-01,Wisconsin,"Eau Claire","Starr Avenue",0,1,http://www.gunviolencearchive.org/incident/316262,http://www.wqow.com/story/28697525/2015/04/01/developing-officer-involved-shooting-of-an-armed-subject,"Shot - Wounded/Injured, Officer Involved Incident, Officer Involved Shooting - Perpetrator shot, Officer Involved Shooting - Perpetrator unarmed",54703,"Starr Avenue, Eau Claire, WI 54703, USA",44.8411822,-91.4798587
2015-04-01,California,Hawthorne,"14200 block of Kornblum Ave",2,1,http://www.gunviolencearchive.org/incident/316145,http://www.times-standard.com/general-news/20150401/2-dead-boy-wounded-in-hawthorne-shooting,"Shot - Wounded/Injured, Shot - Dead (murder, accidental, suicide), Officer Involved Incident, Officer Involved Shooting - Perpetrator killed",90250,"14200 Kornblum Avenue, Hawthorne, CA 90250, USA",33.9019421,-118.3373134
2015-04-01,Ohio,Akron,"1306 Brittain Rd",0,0,http://www.gunviolencearchive.org/incident/316985,http://www.cleveland.com/akron/index.ssf/2015/04/man_accused_of_trying_to_carja.html,"Non-Shooting Incident, Officer Involved Incident, Officer Involved Incident - Weapon involved but no shots fired, Bar/club shooting - in or around establishment, Domestic Violence, Possession (gun(s) found during commission of other crimes)",44310,"1306 Brittain Road, Akron, OH 44310, USA",41.0984882,-81.4665055
2015-03-31,Utah,Freeport,"1300 block of West 10th St.",0,0,http://www.gunviolencearchive.org/incident/316354,http://thepolicenews.net/default.aspx?act=Newsletter.aspx&category=News+1-2&newsletterid=52504&menugroup=Home,"Non-Shooting Incident, Officer Involved Incident, Animal shot/killed, ATF/LE Confiscation/Raid/Arrest, Possession of gun by felon, Gun(s) stolen from owner, Stolen gun(s) recovered during arrest/warrant",,"Utah, USA",39.3209801,-111.0937311
